Version=2
Solomon Islands,Honiara,159.95,-9.45
Somalia,Mogadishu,45.42,2.03
South Africa,Pretoria,28.2,-25.73
Spain,Barcelona,2.09,41.3
Spain,Madrid,-3.75,40.42
Sudan,Khartoum,32.58,15.52
Suriname,Paramaribo,-55.17,5.83
Swaziland,Mbabane,31.1,-26.3
Sweden,Stockholm,18.03,59.2
Switzerland,Bern,7.47,46.95
Switzerland,Zurich,8.53,47.37
Syrian Arab Republic,Damascus,36.3,33.5
Tajikistan,Dushanbe,68.8,38.55
Thailand,Bangkok,100.58,13.75
Togo,Lome,1.33,6.15
Tonga,Nuku'alofa,-174,-21.17
Tunisia,Tunis,10.18,36.83
Turkey,Ankara,32.9,39.95
Turkmenistan,Ashgabat,57.83,38
Tuvalu,Funafuti,179.22,-8.52
Uganda,Kampala,32.5,0.33
Ukraine,Kiev,30.47,50.5
UK-England,Birmingham,-1.88,52.48
UK-England,London,-0.01,51.31
UK-Scotland,Aberdeen,-2.2,57.2
UK-Wales,Aberswyth,-4.08,52.42
United Arab Emirates,Abu Dhabi,54.37,24.47
United Republic of Tanzania,Dodoma,35.75,-6.13
Uruguay,Montevideo,-56.18,-34.83
Uzbekistan,Tashkent,69.17,41.33
Vanuatu,Port-Vila,168.3,-17.75
Venezuela,Caracas,-66.92,10.5
Viet Nam,Hanoi,105.92,21.08
Yugoslavia,Belgrade,20.62,44.83
Zambia,Lusaka,28.27,-15.47
Zimbabwe,Harare,31.03,-17.72
